Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Survey,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
1,47,8762.23,15.8626095,15,0,1,10.40566091,222.649979,4.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,70,43882.72,14.73616645,12,0,0,1.392421597,139.981577,3.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
3,20,10482.52,13.43558029,13,2,0,1.430386349,200.132293,3.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
4,69,33442.79,10.61771118,18,1,0,5.425864884,257.651257,4.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
6,82,51960.51,8.774646693,9,0,0,4.727388465,230.105118,4.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0
5,74,25942.1,11.13156721,8,1,1,20.89923386,174.958118,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
4,69,11211.59,5.540788887,15,1,0,3.471329958,267.664655,5.0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
1,52,8283.29,13.80362698,11,0,1,5.478588204,162.483267,3.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
2,26,10114.81,16.31017089,16,1,1,3.312991809,229.993134,4.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
4,41,12003.33,12.54780492,11,1,2,3.924254455,255.141716,3.0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
0,22,15137.93,13.156514,6,0,0,8.798394712,242.632554,4.0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
2,44,54458.38,10.58349704,5,1,0,10.377366,245.174977,3.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
2,23,132116.33,12.50184778,11,1,0,22.25746016,184.964681,3.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0
3,43,37358.13,9.750038902,11,1,0,9.427146079,195.006206,4.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
2,62,4662.37,8.957166926,13,3,0,3.343811019,184.979684,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
5,68,43820.85,8.015021713,12,1,0,7.338869531,187.656013,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
0,31,44137.6,11.13960534,6,0,0,1.55278221,169.944668,4.0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
0,51,14364.65,9.03738856,11,2,0,12.07970325,160.00128,4.0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
1,73,82634.86,8.387624096,11,0,1,9.563362997,114.950905,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,58,14568.7,10.22013704,15,2,0,15.72071086,220.14775,4.0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
0,42,100076.65,10.79349982,14,3,0,7.960490246,152.455519,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
3,70,10964.73,6.194985909,11,0,1,4.471254161,265.146969,3.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
1,78,22365.28,10.80393657,19,1,0,10.79028074,207.609354,4.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,63,19048.13,11.27443693,18,2,1,2.203859443,200.132293,4.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
4,60,42784.82,6.129509309,12,0,0,23.92132231,212.655686,5.0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
0,87,77996.88,7.969277912,17,0,0,3.7311787,255.119794,4.0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
3,35,7724.73,6.258356398,9,0,1,9.190009376,255.137219,3.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
1,70,1509.52,12.92303286,16,0,0,2.378630018,214.966286,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
2,67,81124.71,12.43301273,13,0,0,5.43464555,270.160419,4.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
4,46,11795.57,7.607663559,11,0,0,1.092361222,200.165175,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
1,24,19038.78,13.04429298,18,1,0,24.64873861,240.114868,4.0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
1,29,37428.26,13.79387475,13,2,1,9.82814183,187.609354,3.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
0,66,27827.03,7.274007029,13,1,1,3.721772616,207.638588,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
4,21,15609.05,8.913898759,12,4,0,3.76663012,187.609354,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
0,75,58482.9,8.294186076,13,0,0,2.188918771,192.470522,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
0,63,41656.53,15.19664016,9,1,0,13.85488928,222.628057,3.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1
2,32,15841.19,6.942719201,7,1,1,19.75096265,159.979358,3.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
0,29,24270.88,11.0596826,13,0,0,4.672610857,245.145743,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
10,23,64816.84,5.271228601,14,1,1,12.97632235,187.484705,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
0,69,58077.38,10.68311773,12,1,1,14.46288204,222.660939,3.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
0,53,23289.77,12.40165307,19,1,0,2.542296644,220.161527,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1
0,69,3805.84,14.86100819,16,0,2,22.79214163,204.963371,3.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
3,71,52616.27,6.716953195,10,2,1,3.823689744,204.963371,3.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0
3,53,30550.42,8.124258176,18,1,0,10.77094687,245.128318,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
2,56,12154.01,14.60903837,11,0,2,13.08671185,172.473314,3.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
0,42,30649.31,12.65015936,9,2,2,14.76468813,172.456745,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3,33,31417.33,12.0281501,14,0,0,9.473091121,194.976769,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
1,48,9044.26,11.30421466,18,3,1,6.577552683,192.470522,4.0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0
0,63,25381.66,10.26646787,10,1,0,3.174571918,159.951231,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0,67,12527.51,10.40677369,14,2,0,13.12190056,174.961766,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
3,61,64222.21,5.785085772,16,1,1,7.120096363,127.442069,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,38,11014.98,9.062879297,11,2,0,9.344886869,210.138,4.0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
3,44,26130.78,4.539566699,8,2,0,4.799514433,242.657291,4.0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
2,68,95028.57,6.076260652,13,0,0,4.627672042,220.161527,3.0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
5,32,9515.64,8.353693631,11,4,0,4.568682641,220.161527,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1
0,47,125814.88,10.74539526,10,0,1,6.085030507,139.965008,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
1,70,77531.43,2.310584634,14,1,0,8.574901206,184.949594,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
3,41,87354.99,5.290318715,10,0,0,9.743201772,252.637807,4.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1
4,75,74638.78,6.547676875,10,3,1,14.64011644,255.155493,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1
0,26,32652.3,7.410590719,9,0,1,11.71637124,174.976769,4.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
1,84,28622.6,11.29945603,14,1,0,2.887429547,192.440432,4.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
10,76,35954.77,13.71555406,14,1,0,3.237560234,137.461553,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
8,75,36342.31,15.40917963,15,2,0,2.733109234,217.472533,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
1,74,48715.53,11.9664542,17,1,0,3.180102025,210.138,2.0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1
1,47,35302.52,14.01485542,16,1,1,11.73724209,262.610632,3.0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
4,20,54895.16,14.62784306,17,2,0,7.006240694,152.488401,5.0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
2,26,60398.06,10.90517581,10,2,0,5.562130367,174.974431,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
3,26,29950.47,12.34250072,12,2,1,3.260462654,184.961033,4.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1
0,87,15388.32,7.82671592,13,1,2,7.983887266,187.642236,4.0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
0,81,47877.81,11.40449185,12,0,0,19.95277818,252.637807,4.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0
0,50,107111.8,15.38627887,12,2,0,2.600063739,162.482694,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
3,87,10403.59,10.68024546,13,2,1,11.92299244,182.467607,4.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
6,25,19476.27,10.91642397,13,1,0,10.87555535,200.165175,3.0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
3,34,96382.76,8.580626195,14,0,0,16.00330155,202.682861,3.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
8,57,10155.51,9.217689334,12,1,1,8.044444101,149.959755,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
4,70,34112.1,13.36027908,12,0,0,10.21634248,187.656013,4.0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
0,53,32653.51,4.372034777,7,1,0,15.50354683,164.985293,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1
0,31,35321.46,10.59285179,11,0,3,13.88004531,159.965008,3.0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
0,26,37297.82,3.767298987,11,0,0,10.01771765,204.949594,4.0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0
3,66,24702.68,11.2369761,11,3,2,12.64742067,162.471255,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
6,51,63166.87,6.094109902,11,2,0,3.701557118,207.609354,4.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,67,12779.23,12.53830949,9,2,1,15.64596698,240.114868,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
4,59,25519.91,12.8219418,12,1,1,23.00764441,240.114868,4.0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
0,42,77383.72,10.51043963,12,0,0,13.01107597,240.114868,3.0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
1,24,47395.3,11.86384439,11,3,0,5.104082209,209.993134,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
1,51,47726.25,8.174495258,8,5,0,1.875430489,152.502178,3.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0
8,56,34197.3,15.74015572,14,2,1,11.64983735,220.132293,4.0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0
4,44,11518.58,13.41209586,11,3,0,2.964559883,152.455519,3.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0
0,19,32097.17,13.62135046,14,1,1,3.892407013,202.443347,2.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
1,31,23424.88,14.95912113,12,2,1,3.226996711,210.12704,4.0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
1,48,18198.59,9.42799205,17,3,0,1.474810061,252.637807,4.0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0
0,52,16851.94,10.95510131,11,0,1,18.56165869,194.999168,3.0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0
1,35,16440.05,10.8621377,16,1,0,12.39088509,242.610632,4.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
0,25,30664.56,9.580144161,13,4,0,17.72593456,240.114868,4.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
1,46,67211.95,6.511921085,12,0,1,4.648958177,162.511928,4.0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
3,54,13765.39,16.68178185,8,2,0,15.85002222,232.637807,4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0
3,23,17814.0,18.19542503,14,0,0,2.73951266,159.947583,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1,32,22533.05,13.53989069,13,1,1,4.973046104,245.145743,3.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0
3,51,19974.4,5.458806701,10,2,0,10.28430068,255.155493,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0
3,37,10330.1,6.918984305,9,1,0,6.945736396,159.947583,4.0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1,62,11217.96,12.66717474,15,2,0,6.035737465,179.947583,3.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
2,80,20566.64,6.915228797,10,1,0,5.071456681,232.637807,4.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
1,43,36128.68,11.30215199,12,1,1,12.02106494,195.006206,3.0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
1,35,52129.84,9.513085538,10,1,0,5.049303717,267.642733,3.0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0
1,63,10909.79,12.21852573,15,2,0,15.31997698,220.114868,3.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
0,42,41412.1,12.4703522,8,1,0,25.8634566,255.133571,3.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0
0,40,99195.08,7.913676085,16,1,0,9.405224809,194.966286,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1
3,61,15930.45,17.41324465,10,0,1,16.59325254,174.976769,3.0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0
1,64,118022.06,6.09060584,11,2,0,14.20349453,152.462354,3.0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0
1,63,51992.79,10.2863601,10,1,1,4.98152586,207.609354,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0
0,72,27235.54,9.321265424,14,0,0,15.28108311,210.151777,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0
3,58,70476.82,3.564651961,9,2,0,4.135827839,159.965581,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
0,33,49396.09,7.779622319,12,3,0,9.740709475,190.173699,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0
6,87,35060.94,10.74985413,8,0,1,1.213704886,202.649979,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
0,47,75042.1,3.11231175,12,1,1,6.549035393,232.62403,4.0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
7,84,91001.1,8.284591121,8,1,0,10.57197066,242.628057,3.0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0
4,19,44426.28,6.269792565,20,0,0,3.379756569,202.443347,3.0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0
0,37,12453.24,10.00344746,14,0,1,14.96503088,225.145743,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1
1,52,15934.12,4.255224068,12,0,1,23.79323993,275.133571,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
0,24,48314.4,11.2714618,14,1,0,11.45675389,287.642733,3.0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
4,83,5511.77,8.477982632,19,0,0,11.04076215,177.65076,4.0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
3,19,10701.11,9.753145376,19,0,1,7.425503428,220.114868,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1,78,10767.15,14.57387887,13,0,0,2.411712843,197.516854,3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
0,38,25071.58,11.62771397,15,0,0,9.068119482,175.133074,2.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
0,79,368.5,6.114030983,11,0,1,1.926789854,147.478341,4.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
0,23,13194.33,13.42263904,9,0,0,5.104873611,147.460067,4.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
2,84,63963.36,3.559550725,8,1,0,6.877942744,232.637807,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
1,63,34447.89,5.971214226,13,3,0,21.17839683,137.439154,4.0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
0,44,5009.07,11.30031859,18,3,0,3.778174405,242.632554,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
1,49,14202.72,10.26519974,17,0,0,11.58276897,187.609354,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
8,32,54779.76,16.28075484,14,0,0,11.62258922,232.652038,4.0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1
2,60,11250.71,10.93514898,16,1,1,3.940297464,159.947583,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
8,62,15292.25,17.05256354,14,0,1,1.473304337,245.131966,4.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1
0,85,17080.57,10.32744663,10,0,1,6.253919786,209.993134,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0
0,50,123763.12,7.259022839,10,1,0,5.201330266,137.516476,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0
1,71,84301.44,10.97274944,10,0,1,12.42120946,207.475448,3.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0
2,68,42755.27,7.014445177,8,0,1,7.62779591,220.132293,3.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1
1,80,63095.62,10.88047174,15,1,2,14.14101821,270.160419,3.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
4,31,82131.87,9.975481565,13,1,0,3.212400569,202.443347,3.0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0
4,80,9450.84,9.53003591,16,1,1,3.834727471,137.468388,4.0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0
0,50,40271.47,13.93422217,11,1,0,9.821728297,172.484753,3.0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0
7,23,35102.93,13.357551,8,0,0,2.462148717,192.470522,3.0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0
1,49,26391.1,14.04061351,10,1,0,14.09942339,220.118516,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1
1,82,29982.49,4.586902043,14,0,0,7.272649386,232.622804,4.0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0
